ID;FLG_DEF_6M;Macro Area;Settore
356;0;Nord;Artigianato e piccole imprese
357;0;Nord;Artigianato e piccole imprese
358;0;Centro ;Artigianato e piccole imprese
359;0;Nord;Artigianato e piccole imprese
360;0;Centro ;Artigianato e piccole imprese
361;1;Centro ;Artigianato e piccole imprese
362;0;Centro ;Artigianato e piccole imprese
363;0;Nord;Artigianato e piccole imprese
364;0;Nord;Artigianato e piccole imprese
365;0;Nord;Artigianato e piccole imprese
366;0;Nord;Artigianato e piccole imprese
367;0;Centro ;Artigianato e piccole imprese
368;0;Nord;Artigianato e piccole imprese
369;1;Centro ;Imprese private
370;0;Nord;Artigianato e piccole imprese
371;0;Centro ;Artigianato e piccole imprese
372;0;Centro ;Imprese private
373;0;Centro ;Artigianato e piccole imprese
374;0;Nord;NGO e altro
375;0;Centro ;Imprese private
376;1;Nord;Artigianato e piccole imprese
377;0;Nord;Artigianato e piccole imprese
378;1;Nord;Artigianato e piccole imprese
379;0;Centro ;Artigianato e piccole imprese
380;0;Centro ;NGO e altro
381;0;Nord;Artigianato e piccole imprese
382;0;Nord;Artigianato e piccole imprese
383;1;Centro ;Imprese private
384;0;Centro ;Artigianato e piccole imprese
385;0;Centro ;Artigianato e piccole imprese
386;0;Nord;Imprese private
387;0;Centro ;Artigianato e piccole imprese
388;0;Sud & Isole;Artigianato e piccole imprese
389;0;Nord;Artigianato e piccole imprese
390;1;Nord;Artigianato e piccole imprese
391;0;Nord;Artigianato e piccole imprese
392;0;Sud & Isole;Artigianato e piccole imprese
393;0;Centro ;Artigianato e piccole imprese
394;1;Centro ;Imprese private
395;0;Centro ;Artigianato e piccole imprese
396;0;Centro ;NGO e altro
397;0;Nord;Artigianato e piccole imprese
398;0;Sud & Isole;Imprese private
399;0;Nord;Artigianato e piccole imprese
400;0;Nord;Artigianato e piccole imprese
401;0;Centro ;NGO e altro
402;0;Nord;Artigianato e piccole imprese
403;0;Centro ;Artigianato e piccole imprese
404;0;Nord;Artigianato e piccole imprese
405;0;Nord;Imprese private
